record_id|employer|occupation
4010620251126850300|SELF|INS. REP.
4010620251126850566|RETIRED|RETIRED
4010620251126851142|RETIRED|RETIRED
4010620251126851757|RETIRED|RETIRED
4010620251126853068|RETIRED|RETIRED
4010620251126854893|RETIRED|RETIRED
4010620251126855558|RETIRED|RETIRED
4010620251126855561|RETIRED|RETIRED
4010620251126858346|RETIRED|RETIRED
4010620251126861602|AMAZON|WAREHOUSE WORKER
4010620251126861934|LIBERTY|CEO
4010620251126862336|RETIRED|RETIRED
4010620251126865528|RETIRED|RETIRED
4010620251126873206|RETIRED|RETIRED
4010620251126874464|RETIRED|RETIRED
4010620251126875106|RETIRED|RETIRED
4010620251126875831|RETIRED|RETIRED
4010620251126876251|SCI FAYETTE|PHYSICIAN ASSISTANT
4010620251126876779|KELLER WILLIAMS MEDIA|REALTOR
4010620251126877874|RETIRED|RETIRED
4010620251126878236|HNL LABORATORY|PHYSICIAN
4010620251126879657|RETIRED|RETIRED
4010620251126881055|RETIRED|RETIRED
4010620251126881744|RETIRED|RETIRED
4010620251126883331|RETIRED|RETIRED
4010620251126884228|VCS|CAREGIVER
4010620251126884648|MANION PLUMBING|PLUMBER
4010620251126884913|RETIRED|RETIRED
4010620251126885775|RETIRED|RETIRED
4010620251126886132|RETIRED|RETIRED
4010620251126886558|RETIRED|RETIRED
4010620251126886972|RETIRED|RETIRED
4010620251126887878|RETIRED|RETIRED
4010620251126888328|CMT SERVICES GROUP|ENGINEER
4010620251126890203|VITO BRACCIA CONSTRUCTION LLC|CONSTRUCTION
4010620251126893071|FRANKLIN COUNTY PA|COUNTY COMMISSIONER
4010620251126893489|SOUTHWOOD|ADMIN ASST
4010620251126895183|CVS HEALTH|R.N.
4010620251126895203|RETIRED|RETIRED
4010620251126896169|RETIRED|RETIRED
4010620251126896369|HNL LABORATORY|PHYSICIAN
4010620251126897730|RETIRED|RETIRED
4010620251126898970|RETIRED|RETIRED
